"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.03.2026","13.865,74","13.423,64","14.385,76","13.423,64","11,70B","-4,09%"
"01.02.2026","14.457,32","14.596,98","15.961,67","14.361,25","17,20B","-1,67%"
"01.01.2026","14.702,67","12.478,65","14.792,95","12.478,65","17,26B","18,02%"
"01.12.2025","12.458,20","11.569,00","12.914,65","11.539,97","10,25B","7,86%"
"01.11.2025","11.549,91","11.947,49","12.233,52","11.200,43","10,01B","-3,06%"
"01.10.2025","11.914,43","11.235,71","11.925,88","10.860,78","11,50B","6,17%"
"01.09.2025","11.221,98","12.046,97","12.167,45","10.932,30","21,49B","-6,57%"
"01.08.2025","12.011,52","11.499,56","12.437,94","11.451,13","17,77B","4,57%"
"01.07.2025","11.486,57","10.647,70","11.565,16","10.578,82","9,56B","8,19%"
"01.06.2025","10.616,67","10.337,39","10.924,34","9.858,40","5,14B","2,90%"
"01.05.2025","10.317,07","10.724,36","11.491,59","10.317,07","6,38B","-3,19%"
"01.04.2025","10.657,15","10.609,92","11.105,66","10.112,88","6,09B","0,23%"
"01.03.2025","10.632,91","10.672,65","11.812,14","9.721,33","6,48B","-0,13%"
"01.02.2025","10.647,18","10.716,59","11.060,79","10.248,74","4,38B","-1,44%"
"01.01.2025","10.802,58","11.380,33","11.426,16","10.705,01","4,62B","-6,03%"
"01.12.2024","11.495,88","10.941,31","12.348,28","10.889,54","4,72B","4,96%"
"01.11.2024","10.953,05","10.751,64","11.265,27","9.905,44","3,83B","2,39%"
"01.10.2024","10.697,59","11.316,65","11.381,53","10.079,37","4,34B","-5,30%"
"01.09.2024","11.296,74","12.269,31","12.699,75","11.296,74","5,40B","-7,56%"
"01.08.2024","12.221,07","14.206,61","14.328,50","12.126,61","4,62B","-13,26%"
"01.07.2024","14.088,72","13.596,53","15.061,59","13.156,84","3,89B","3,92%"
"01.06.2024","13.556,89","12.116,06","13.604,84","12.116,06","2,08B","12,21%"
"01.05.2024","12.081,31","12.000,24","12.717,63","11.880,52","4,16B","1,31%"
"01.04.2024","11.925,54","10.617,10","12.020,88","10.296,25","2,54B","13,38%"
"01.03.2024","10.518,07","11.326,92","11.495,30","10.139,94","4,62B","-6,91%"
"01.02.2024","11.298,38","9.951,27","11.429,80","9.951,27","5,10B","13,88%"
"01.01.2024","9.921,33","8.878,82","9.994,70","8.418,92","3,33B","12,27%"
"01.12.2023","8.837,26","8.477,01","8.840,39","8.082,97","2,01B","5,28%"
"01.11.2023","8.393,85","7.808,47","8.781,41","7.649,49","3,54B","8,33%"
"01.10.2023","7.748,71","8.854,87","9.319,68","7.547,78","4,43B","-11,76%"
"01.09.2023","8.781,03","8.612,43","9.053,18","8.041,89","6,46B","2,70%"
"01.08.2023","8.550,10","6.647,39","8.636,49","6.540,84","8,21B","29,01%"
"01.07.2023","6.627,58","5.034,12","6.658,74","5.034,12","6,82B","32,57%"
"01.06.2023","4.999,15","4.565,66","5.038,18","4.564,57","3,27B","10,16%"
"01.05.2023","4.537,96","4.597,10","5.150,05","4.253,77","2,64B","-1,25%"
"01.04.2023","4.595,23","4.712,82","4.878,29","4.531,81","2,28B","-2,22%"
"01.03.2023","4.699,62","4.527,15","5.073,51","4.458,22","4,72B","3,50%"
"01.02.2023","4.540,64","4.575,82","4.674,13","3.771,53","1,63B","-0,75%"
"01.01.2023","4.574,82","5.550,58","5.654,73","4.405,84","2,63B","-17,19%"
"01.12.2022","5.524,55","5.145,47","5.718,40","4.971,39","4,18B","8,30%"
"01.11.2022","5.101,21","4.254,13","5.166,24","4.155,04","4,67B","20,17%"
"01.10.2022","4.245,03","3.329,66","4.252,89","3.329,66","4,11B","28,07%"
"01.09.2022","3.314,59","3.292,52","3.645,59","3.221,84","4,97B","0,78%"
"01.08.2022","3.289,03","3.001,70","3.289,03","2.971,55","4,00B","10,35%"
"01.07.2022","2.980,55","2.616,84","2.986,65","2.585,45","2,12B","14,72%"
"01.06.2022","2.598,07","2.545,72","2.751,30","2.527,47","3,27B","2,53%"
"01.05.2022","2.533,95","2.482,43","2.585,54","2.390,56","2,34B","3,06%"
"01.04.2022","2.458,76","2.311,42","2.536,87","2.298,67","2,32B","6,71%"
"01.03.2022","2.304,25","2.116,23","2.329,41","2.089,08","2,38B","9,50%"
"01.02.2022","2.104,29","2.427,92","2.433,29","2.058,09","1,42B","-13,32%"
"01.01.2022","2.427,72","2.203,85","2.480,18","2.194,24","2,49B","11,16%"
"01.12.2021","2.183,89","2.161,01","2.600,88","2.048,38","3,15B","1,70%"
"01.11.2021","2.147,29","1.947,99","2.173,17","1.924,37","2,89B","10,46%"
"01.10.2021","1.943,88","1.905,87","1.948,43","1.829,22","1,66B","1,67%"
"01.09.2021","1.911,97","1.962,43","2.027,17","1.850,55","1,94B","-2,40%"
"01.08.2021","1.959,03","1.927,04","1.967,02","1.904,37","1,42B","1,97%"
"01.07.2021","1.921,25","1.871,32","1.921,25","1.816,25","624,90M","2,88%"
"01.06.2021","1.867,39","1.947,79","1.993,45","1.850,69","804,10M","-3,97%"
"01.05.2021","1.944,50","2.032,45","2.095,90","1.917,69","701,30M","-3,89%"
"01.04.2021","2.023,13","1.982,55","2.086,88","1.817,51","1,68B","2,76%"
"01.03.2021","1.968,79","2.027,24","2.202,05","1.777,03","2,38B","-1,80%"
"01.02.2021","2.004,86","2.140,45","2.261,18","1.935,90","2,15B","-5,72%"
"01.01.2021","2.126,55","2.049,95","2.283,72","2.029,21","2,51B","4,99%"
