"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.03.2026","15.066,45","14.080,18","16.347,34","14.080,18","50,34B","3,62%"
"01.02.2026","14.539,96","15.097,84","15.381,79","14.294,57","79,27B","-5,60%"
"01.01.2026","15.401,81","12.818,96","15.659,46","12.804,92","71,57B","20,41%"
"01.12.2025","12.791,02","13.081,89","13.523,96","12.760,76","33,37B","-2,08%"
"01.11.2025","13.063,35","13.734,30","13.963,11","12.828,40","39,65B","-4,62%"
"01.10.2025","13.696,51","13.372,04","13.715,73","12.332,44","52,21B","1,82%"
"01.09.2025","13.451,66","13.380,25","14.403,92","12.463,87","65,80B","0,77%"
"01.08.2025","13.349,44","12.119,66","13.888,58","12.032,56","54,23B","10,33%"
"01.07.2025","12.099,97","10.597,98","12.124,21","10.575,44","20,09B","14,86%"
"01.06.2025","10.534,38","9.849,58","10.580,68","9.724,48","12,45B","6,78%"
"01.05.2025","9.865,12","10.394,09","10.911,64","9.812,16","17,87B","-4,84%"
"01.04.2025","10.366,92","10.847,51","10.873,75","10.175,46","19,77B","-4,83%"
"01.03.2025","10.892,64","10.694,21","11.832,45","10.080,10","20,85B","2,80%"
"01.02.2025","10.595,66","11.084,14","11.169,69","10.320,21","19,01B","-5,05%"
"01.01.2025","11.158,95","11.568,86","12.046,84","11.118,60","24,67B","-3,27%"
"01.12.2024","11.536,02","11.378,91","12.122,79","11.277,53","17,38B","0,95%"
"01.11.2024","11.427,73","10.877,33","11.580,78","10.525,66","19,02B","5,26%"
"01.10.2024","10.856,63","11.774,37","11.790,60","10.644,10","15,43B","-7,98%"
"01.09.2024","11.798,15","12.576,69","12.764,50","11.393,61","17,80B","-5,74%"
"01.08.2024","12.516,27","12.978,17","13.068,04","11.903,75","11,93B","-2,59%"
"01.07.2024","12.848,46","12.765,77","13.274,01","12.196,95","6,50B","1,32%"
"01.06.2024","12.681,18","13.472,39","13.537,82","12.429,98","4,24B","-5,13%"
"01.05.2024","13.366,46","14.211,81","14.790,14","13.366,46","7,51B","-5,49%"
"01.04.2024","14.142,34","13.501,51","14.295,02","12.318,64","4,92B","5,51%"
"01.03.2024","13.404,26","13.519,93","13.962,20","12.737,43","7,94B","-0,66%"
"01.02.2024","13.493,97","12.334,34","14.361,58","12.334,34","10,38B","9,58%"
"01.01.2024","12.314,60","11.523,72","12.513,78","11.156,49","7,22B","7,65%"
"01.12.2023","11.439,17","13.528,47","13.708,91","11.064,57","6,04B","-14,61%"
"01.11.2023","13.395,90","12.294,88","13.655,87","11.943,72","6,65B","9,55%"
"01.10.2023","12.228,56","13.667,47","13.746,76","11.654,62","9,62B","-10,30%"
"01.09.2023","13.632,34","12.878,06","14.103,85","12.083,92","10,14B","6,65%"
"01.08.2023","12.782,33","11.573,22","13.015,68","10.986,79","12,79B","10,64%"
"01.07.2023","11.553,35","9.864,39","11.648,68","9.864,39","9,30B","18,54%"
"01.06.2023","9.746,65","8.860,12","10.387,33","8.796,80","5,14B","11,21%"
"01.05.2023","8.764,36","8.000,15","8.913,63","7.409,27","4,14B","9,69%"
"01.04.2023","7.989,77","8.488,39","9.152,75","7.954,12","3,71B","-5,14%"
"01.03.2023","8.422,92","9.749,48","9.949,12","8.334,62","4,66B","-13,08%"
"01.02.2023","9.690,87","9.394,41","9.947,46","7.507,73","3,30B","3,54%"
"01.01.2023","9.359,25","9.986,66","10.536,64","8.670,60","6,50B","-5,64%"
"01.12.2022","9.918,92","9.707,23","10.291,64","8.637,31","8,91B","3,17%"
"01.11.2022","9.613,72","7.969,92","10.747,50","7.969,92","10,02B","21,73%"
"01.10.2022","7.897,49","5.808,68","7.909,72","5.808,68","6,99B","37,42%"
"01.09.2022","5.747,12","5.645,47","5.882,84","5.211,91","5,88B","1,51%"
"01.08.2022","5.661,70","4.481,28","5.693,56","4.481,28","8,25B","27,11%"
"01.07.2022","4.454,22","4.192,61","4.455,48","3.959,74","2,78B","6,28%"
"01.06.2022","4.191,18","4.265,41","4.610,46","4.079,95","4,55B","-1,25%"
"01.05.2022","4.244,24","3.834,76","4.283,73","3.775,57","3,91B","13,35%"
"01.04.2022","3.744,41","3.453,16","4.031,14","3.438,08","5,38B","8,72%"
"01.03.2022","3.443,93","2.996,05","3.472,46","2.942,16","4,80B","16,04%"
"01.02.2022","2.967,77","2.957,58","3.135,55","2.692,18","3,53B","0,84%"
"01.01.2022","2.943,00","2.909,07","3.269,38","2.783,71","5,37B","1,53%"
"01.12.2021","2.898,57","2.782,48","3.715,88","2.548,85","7,19B","5,55%"
"01.11.2021","2.746,04","2.317,93","2.765,61","2.216,46","8,99B","18,76%"
"01.10.2021","2.312,19","2.034,41","2.326,63","2.027,53","3,62B","13,23%"
"01.09.2021","2.042,01","1.987,41","2.050,35","1.962,50","2,83B","2,93%"
"01.08.2021","1.983,84","1.899,16","2.002,49","1.899,16","2,71B","4,88%"
"01.07.2021","1.891,58","1.838,78","1.905,10","1.803,09","2,07B","3,25%"
"01.06.2021","1.832,10","2.042,08","2.113,22","1.828,49","2,59B","-9,85%"
"01.05.2021","2.032,19","2.058,71","2.156,81","2.031,27","3,90B","-0,91%"
"01.04.2021","2.050,88","2.136,83","2.206,39","1.872,50","3,65B","-2,89%"
"01.03.2021","2.111,92","2.135,76","2.307,57","1.789,23","6,35B","0,91%"
"01.02.2021","2.092,83","1.938,56","2.282,58","1.915,17","7,72B","9,00%"
"01.01.2021","1.920,05","1.875,13","2.008,10","1.787,59","5,95B","3,09%"
