"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.03.2026","36.128,09","35.001,21","36.853,12","33.276,13","2,01B","-5,21%"
"01.02.2026","38.111,92","38.201,12","43.148,24","37.602,64","3,09B","-1,64%"
"01.01.2026","38.746,53","34.748,94","39.156,15","34.637,83","2,81B","12,31%"
"01.12.2025","34.500,04","34.999,56","36.516,27","34.242,13","1,83B","-1,70%"
"01.11.2025","35.096,32","37.231,47","38.075,89","34.520,63","2,20B","-5,29%"
"01.10.2025","37.054,70","38.802,37","39.250,89","36.072,88","2,51B","-4,42%"
"01.09.2025","38.769,54","41.280,78","41.676,53","38.320,10","2,75B","-6,04%"
"01.08.2025","41.260,09","36.989,87","42.652,53","36.747,44","4,16B","11,75%"
"01.07.2025","36.920,51","36.460,47","38.324,35","35.682,38","4,47B","1,33%"
"01.06.2025","36.435,95","34.609,68","37.203,43","32.040,04","2,85B","5,00%"
"01.05.2025","34.702,48","36.017,14","39.157,94","34.588,23","1,80B","-3,26%"
"01.04.2025","35.872,06","37.876,52","39.816,72","35.817,70","1,60B","-5,80%"
"01.03.2025","38.081,60","37.249,12","40.968,51","34.518,54","1,42B","3,16%"
"01.02.2025","36.914,62","37.084,49","38.741,09","35.339,65","1,15B","-1,04%"
"01.01.2025","37.303,77","34.084,75","37.399,37","33.993,91","1,25B","9,88%"
"01.12.2024","33.948,56","33.775,88","35.958,38","33.627,69","1,41B","0,30%"
"01.11.2024","33.848,35","32.606,00","35.562,90","31.758,58","1,32B","4,04%"
"01.10.2024","32.535,11","33.710,14","33.880,60","30.748,59","1,01B","-3,36%"
"01.09.2024","33.667,88","34.783,17","35.747,15","32.809,89","1,04B","-2,67%"
"01.08.2024","34.590,85","34.131,98","35.414,35","31.616,35","1,26B","2,75%"
"01.07.2024","33.666,63","35.762,09","36.987,54","33.492,97","1,29B","-5,42%"
"01.06.2024","35.594,28","34.429,25","36.591,59","33.600,48","1,16B","4,25%"
"01.05.2024","34.144,27","36.219,83","36.964,32","33.869,11","1,33B","-5,16%"
"01.04.2024","36.002,76","32.114,89","36.154,14","31.003,02","1,08B","12,26%"
"01.03.2024","32.071,55","30.880,86","32.219,66","28.401,58","1,05B","4,26%"
"01.02.2024","30.760,53","29.258,00","31.521,52","29.225,07","1,29B","5,31%"
"01.01.2024","29.209,85","25.129,70","29.676,55","24.736,17","1,01B","18,28%"
"01.12.2023","24.694,69","27.507,43","28.198,17","23.917,45","837,25M","-8,67%"
"01.11.2023","27.039,26","24.437,38","28.980,04","23.405,43","1,26B","12,05%"
"01.10.2023","24.131,73","27.167,18","28.373,49","22.730,80","1,16B","-10,99%"
"01.09.2023","27.112,17","27.527,77","28.944,74","24.196,74","1,27B","-1,50%"
"01.08.2023","27.524,85","25.959,43","29.908,74","25.559,06","1,56B","5,39%"
"01.07.2023","26.117,64","21.994,25","26.601,55","21.864,61","1,64B","24,23%"
"01.06.2023","21.022,84","15.857,08","21.022,84","15.857,08","1,42B","33,55%"
"01.05.2023","15.741,39","14.182,50","16.273,89","13.556,89","1,01B","11,43%"
"01.04.2023","14.126,60","13.373,27","15.480,62","13.063,00","705,77M","5,51%"
"01.03.2023","13.389,42","15.935,38","16.320,55","13.257,65","892,60M","-15,67%"
"01.02.2023","15.877,83","15.369,75","16.776,57","12.766,14","807,41M","4,25%"
"01.01.2023","15.231,06","15.751,82","17.178,86","13.717,63","1,87B","-2,31%"
"01.12.2022","15.591,57","13.461,55","16.400,88","13.444,87","1,71B","17,98%"
"01.11.2022","13.215,54","11.121,19","13.319,33","10.944,63","2,44B","20,02%"
"01.10.2022","11.010,86","7.917,73","11.111,55","7.911,47","1,99B","40,82%"
"01.09.2022","7.819,13","7.867,02","8.648,02","7.276,47","2,14B","-0,62%"
"01.08.2022","7.867,79","5.650,51","7.895,36","5.649,01","2,83B","40,19%"
"01.07.2022","5.612,29","5.348,29","5.796,59","5.287,31","1,68B","5,86%"
"01.06.2022","5.301,55","5.375,62","5.909,16","5.097,96","2,79B","-1,57%"
"01.05.2022","5.385,91","4.647,11","5.497,45","4.423,22","2,10B","17,87%"
"01.04.2022","4.569,36","3.677,50","4.621,69","3.669,32","3,08B","24,98%"
"01.03.2022","3.655,95","3.069,65","3.715,16","2.826,85","3,71B","22,41%"
"01.02.2022","2.986,65","3.393,32","3.537,31","2.828,83","3,25B","-11,06%"
"01.01.2022","3.358,05","2.466,88","3.435,80","2.431,15","3,27B","37,30%"
"01.12.2021","2.445,71","2.257,71","3.234,78","2.234,63","3,61B","9,68%"
"01.11.2021","2.229,89","1.973,16","2.510,04","1.955,33","3,43B","13,17%"
"01.10.2021","1.970,32","1.837,28","1.972,35","1.802,99","1,95B","6,89%"
"01.09.2021","1.843,32","1.693,89","1.858,86","1.627,88","2,20B","9,29%"
"01.08.2021","1.686,59","1.701,95","1.732,17","1.623,49","1,73B","-0,57%"
"01.07.2021","1.696,25","1.777,14","1.881,18","1.632,61","1,17B","-4,33%"
"01.06.2021","1.772,99","1.849,83","1.976,70","1.751,48","2,48B","-4,36%"
"01.05.2021","1.853,87","1.700,39","1.894,07","1.700,39","1,75B","9,81%"
"01.04.2021","1.688,19","1.752,26","1.828,68","1.461,17","1,45B","-3,53%"
"01.03.2021","1.749,93","1.876,63","2.043,00","1.553,72","2,58B","-5,17%"
"01.02.2021","1.845,28","1.648,01","1.862,45","1.629,41","2,29B","12,82%"
"01.01.2021","1.635,58","1.747,25","1.830,02","1.556,76","2,30B","-6,07%"
