Tarih;USD_YTL
2021-01;7,39
2021-02;7,07
2021-03;7,63
2021-04;8,16
2021-05;8,34
2021-06;8,60
2021-07;8,61
2021-08;8,48
2021-09;8,51
2021-10;9,14
2021-11;10,52
2021-12;13,53
2022-01;13,52
2022-02;13,62
2022-03;14,57
2022-04;14,68
2022-05;15,62
2022-06;16,96
2022-07;17,39
2022-08;17,99
2022-09;18,28
2022-10;18,56
2022-11;18,59
2022-12;18,64
2023-01;18,76
2023-02;18,82
2023-03;18,97
2023-04;19,30
2023-05;19,68
2023-06;23,06
2023-07;26,42
2023-08;26,95
2023-09;26,94
2023-10;27,80
2023-11;28,59
2023-12;29,02
2024-01;30,00
2024-02;30,70
2024-03;31,93
2024-04;32,27
2024-05;32,19
2024-06;32,46
2024-07;32,84
2024-08;33,56
2024-09;33,97
2024-10;34,17
2024-11;34,36
2024-12;34,90
2025-01;35,46
2025-02;36,09
2025-03;36,97
2025-04;38,02
2025-05;38,69
2025-06;39,34
2025-07;40,11
2025-08;40,73
2025-09;41,22
2025-10;41,73
2025-11;42,18
2025-12;42,59
2026-01;43,11
2026-02;43,59
2026-03;44,06
;
;
;
;
;
;
